id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
13446626,JH246587,2024-05-01 16:22:00,008XX S PLYMOUTH CT,2210,LIQUOR LAW VIOLATION,SELL / GIVE / DELIVER LIQUOR TO MINOR,RESTAURANT,True,False,123,1,4,32,22,1176194.0,1896270.0,2024,2024-12-21T15:40:46.000,41.870724666,-87.628597294,"{'latitude': '41.870724666', 'longitude': '-87.628597294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446524,JH246380,2024-05-01 16:23:00,038XX W 51ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,822,8,14,62,14,1151457.0,1870525.0,2024,2024-12-21T15:40:46.000,41.800598449,-87.720090347,"{'latitude': '41.800598449', 'longitude': '-87.720090347', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13450850,JH250963,2024-05-01 16:25:00,053XX S COTTAGE GROVE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,233,2,20,41,11,1182491.0,1869797.0,2024,2024-12-21T15:40:46.000,41.797936811,-87.606301777,"{'latitude': '41.797936811', 'longitude': '-87.606301777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13512377,JH326083,2024-05-01 16:25:00,052XX S MONITOR AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,False,False,811,8,23,56,11,1138254.0,1869226.0,2024,2024-12-21T15:40:46.000,41.797282051,-87.768542178,"{'latitude': '41.797282051', 'longitude': '-87.768542178', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447492,JH247522,2024-05-01 16:30:00,001XX N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,111,1,34,32,06,1176352.0,1900918.0,2024,2024-12-21T15:40:46.000,41.883475491,-87.627876969,"{'latitude': '41.883475491', 'longitude': '-87.627876969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446655,JH246566,2024-05-01 16:30:00,037XX N RECREATION DR,0580,STALKING,SIMPLE,LAKEFRONT / WATERFRONT / RIVERBANK,False,True,1925,19,46,6,08A,1171750.0,1925784.0,2024,2024-12-21T15:40:46.000,41.95181158,-87.644041813,"{'latitude': '41.95181158', 'longitude': '-87.644041813', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447037,JH246854,2024-05-01 16:30:00,007XX W FULLERTON AVE,0820,THEFT,$500 AND UNDER,NURSING / RETIREMENT HOME,False,False,1935,19,43,7,06,1171121.0,1916186.0,2024,2024-12-21T15:40:46.000,41.925488141,-87.646636619,"{'latitude': '41.925488141', 'longitude': '-87.646636619', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13525041,JH341034,2024-05-01 16:30:00,010XX S CLAREMONT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1225,12,28,28,11,1160877.0,1895294.0,2024,2024-12-21T15:40:46.000,41.868377739,-87.68485819,"{'latitude': '41.868377739', 'longitude': '-87.68485819', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447589,JH246426,2024-05-01 16:38:00,052XX S STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,225,2,3,40,08B,1177170.0,1870046.0,2024,2024-12-21T15:40:46.000,41.798741929,-87.62580711,"{'latitude': '41.798741929', 'longitude': '-87.62580711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446845,JH246440,2024-05-01 16:41:00,077XX S BURNHAM AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SCHOOL - PUBLIC GROUNDS,False,False,421,4,7,43,04A,1196066.0,1854156.0,2024,2024-12-21T15:40:46.000,41.754691074,-87.557038686,"{'latitude': '41.754691074', 'longitude': '-87.557038686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
